sex,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income4,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,housing_debt_balance,housing_tenure,age,total_debt
1.0,6.0,1.0,3.0,6.0,1.0,3769.0,1440.0,0.0,7820.0,7424.0,2882.0,0.0,0.0,3000.0,0.0,0.0,2882.0,1.0,37.0,5882.0
2.0,7.0,5.0,2.0,2.0,1.0,3769.0,1900.0,0.0,9035.0,7991.0,9161.0,3000.0,6041.0,0.0,0.0,0.0,9161.0,1.0,25.0,18202.0
1.0,7.0,5.0,1.0,1.0,1.0,4766.0,1440.0,0.0,12153.0,11361.0,0.0,0.0,0.0,2800.0,0.0,0.0,0.0,1.0,30.0,2800.0
1.0,5.0,5.0,1.0,1.0,1.0,2938.0,1440.0,0.0,3038.0,2762.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,150.0
1.0,5.0,5.0,2.0,2.0,1.0,3769.0,3000.0,0.0,8518.0,8218.0,4000.0,0.0,180.0,0.0,0.0,0.0,4000.0,1.0,27.0,4180.0
1.0,5.0,5.0,1.0,1.0,1.0,2838.0,1440.0,0.0,9487.0,8647.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,2000.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,320.0,0.0,11615.0,11087.0,2533.0,0.0,0.0,0.0,0.0,0.0,2500.0,3.0,26.0,2533.0
1.0,7.0,1.0,1.0,1.0,1.0,5739.0,1440.0,0.0,11669.0,10085.0,28000.0,0.0,0.0,0.0,0.0,0.0,28000.0,1.0,37.0,28000.0
1.0,6.0,5.0,3.0,1.0,1.0,4200.0,1440.0,0.0,8197.0,7393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0
1.0,5.0,5.0,2.0,1.0,1.0,3700.0,1440.0,0.0,13180.0,11680.0,0.0,0.0,1750.0,1000.0,0.0,0.0,0.0,1.0,37.0,2750.0
1.0,5.0,5.0,3.0,1.0,1.0,4625.0,1440.0,0.0,13680.0,12432.0,14875.0,0.0,5000.0,0.0,0.0,0.0,14292.0,1.0,25.0,19875.0
2.0,8.0,1.0,3.0,2.0,3.0,3769.0,2630.0,0.0,4727.0,4475.0,13500.0,0.0,0.0,0.0,0.0,0.0,13500.0,2.0,33.0,13500.0
2.0,7.0,5.0,1.0,2.0,1.0,3769.0,3080.0,0.0,47110.0,45646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0
1.0,5.0,5.0,3.0,2.0,2.0,3769.0,2389.0,0.0,2926.0,2770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,0.0
1.0,7.0,1.0,2.0,1.0,1.0,3200.0,1440.0,0.0,6860.0,6464.0,8847.0,0.0,0.0,0.0,0.0,0.0,8847.0,1.0,36.0,8847.0
1.0,7.0,5.0,3.0,1.0,1.0,1320.0,1440.0,0.0,8719.0,8215.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,1.0,26.0,25000.0
2.0,7.0,1.0,3.0,2.0,1.0,3769.0,2940.0,0.0,6912.0,6240.0,22400.0,0.0,0.0,0.0,0.0,0.0,14400.0,2.0,32.0,22400.0
1.0,6.0,5.0,2.0,2.0,2.0,3769.0,2941.0,0.0,5843.0,5267.0,0.0,0.0,100.0,2500.0,0.0,0.0,0.0,1.0,26.0,2600.0
