h19_pid,p19_wgc,sex,h19_g4,education,marital_status,region,employment_status,employment_type,h19_pers_income1,h19_pers_income2,h19_pers_income3,h19_pers_income4,h19_pers_income5,h19_cin,h19_din,debt_financial,debt_private,debt_card,debt_lease,debt_credit,debt_other,h1909_aq7,h1909_aq8,h1906_aq2,housing_debt_balance,h1906_10,housing_tenure,age,total_income,total_debt,annual_interest,annual_repayment,annual_debt_service,dsr_raw,dsr,debt_crisis
52603,14062.61899867214,2,1997,7,5,1,2.0,2.0,,3360.0,,0,,8910.0,7494.0,4480,0,0,0,0,0,0.0,379.0,0.0,0.0,1.0,1,27,3360.0,4480,379.0,0.0,379.0,0.11279761904761905,0.11279761904761905,0
52604,12685.257811496323,1,2000,7,5,1,9.0,,,200.0,,0,,8910.0,7494.0,4480,0,0,0,0,0,0.0,379.0,0.0,0.0,1.0,1,24,200.0,4480,379.0,0.0,379.0,1.895,1.895,1
52703,8062.072196300072,2,2001,6,5,1,8.0,,,400.0,,0,,13375.0,12787.0,5520,0,0,0,0,10000,240.0,0.0,480.0,5520.0,1.0,1,23,400.0,15520,240.0,480.0,720.0,1.8,1.8,1
53005,6589.5678168112545,1,1992,7,1,3,1.0,1.0,5570.0,,,0,,6374.0,5558.0,5000,0,0,0,0,0,40.0,0.0,600.0,5000.0,1.0,2,32,5570.0,5000,40.0,600.0,640.0,0.11490125673249552,0.11490125673249552,0
55153,7250.68233053623,1,1989,7,1,1,1.0,1.0,5750.0,,,0,,6495.0,5727.0,19000,0,0,0,0,0,532.0,0.0,1028.0,19000.0,1.0,1,35,5750.0,19000,532.0,1028.0,1560.0,0.271304347826087,0.271304347826087,0
56603,8926.692234514405,2,1992,6,5,1,1.0,1.0,2942.0,,,0,,10532.0,10028.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,32,2942.0,0,0.0,0.0,0.0,0.0,0.0,0
56604,10769.894596807055,2,1995,5,5,1,8.0,,,574.0,,0,,10532.0,10028.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,29,574.0,0,0.0,0.0,0.0,0.0,0.0,0
56703,13104.735670551781,2,1992,7,5,1,2.0,1.0,,4500.0,,0,,40323.0,30807.0,0,0,0,1000,0,0,0.0,0.0,0.0,0.0,1.0,1,32,4500.0,1000,0.0,0.0,0.0,0.0,0.0,0
56704,6423.173648096563,2,1994,6,5,1,1.0,1.0,6260.0,,,0,,40323.0,30807.0,0,0,0,1000,0,0,0.0,0.0,0.0,0.0,1.0,1,30,6260.0,1000,0.0,0.0,0.0,0.0,0.0,0
57003,6589.726289347159,1,1993,6,5,1,1.0,1.0,4452.0,,,0,,5052.0,4464.0,15200,0,0,0,0,0,864.0,0.0,600.0,15200.0,1.0,1,31,4452.0,15200,864.0,600.0,1464.0,0.3288409703504043,0.3288409703504043,0
57603,9149.793804120138,1,1998,6,5,3,2.0,1.0,,2520.0,,0,,23308.0,20284.0,0,0,250,90000,0,0,0.0,0.0,0.0,0.0,1.0,2,26,2520.0,90250,0.0,0.0,0.0,0.0,0.0,0
57604,5574.277161405454,2,2001,6,5,3,1.0,1.0,3720.0,,,0,,23308.0,20284.0,0,0,250,90000,0,0,0.0,0.0,0.0,0.0,1.0,2,23,3720.0,90250,0.0,0.0,0.0,0.0,0.0,0
58503,5902.49671892369,2,2001,6,5,3,2.0,1.0,,3270.0,,0,,9220.0,8176.0,0,0,200,37800,0,0,0.0,0.0,0.0,0.0,1.0,1,23,3270.0,38000,0.0,0.0,0.0,0.0,0.0,0
58603,14719.95057089291,1,1997,8,5,1,2.0,1.0,,1320.0,,0,,32233.0,28945.0,0,0,0,25000,0,0,0.0,0.0,0.0,0.0,1.0,1,27,1320.0,25000,0.0,0.0,0.0,0.0,0.0,0
59303,18435.16911120275,2,1985,7,5,1,1.0,1.0,3050.0,,,0,,7001.0,6665.0,10875,0,0,0,0,0,399.0,1020.0,625.0,6175.0,1.0,1,39,3050.0,10875,1419.0,625.0,2044.0,0.6701639344262295,0.6701639344262295,1
60503,3957.8264080605,1,1987,7,5,1,9.0,,,20.0,,0,,4102.0,3718.0,60000,0,0,0,0,0,1200.0,0.0,1200.0,60000.0,1.0,1,37,20.0,60000,1200.0,1200.0,2400.0,120.0,5.0,1
60654,9365.615010852873,2,1986,5,1,1,2.0,1.0,,3340.0,,0,,9470.0,9098.0,5400,0,385,0,0,0,336.0,0.0,0.0,5400.0,1.0,2,38,3340.0,5785,336.0,0.0,336.0,0.10059880239520957,0.10059880239520957,0
61503,13565.417006845788,2,2003,7,5,3,9.0,,,180.0,,0,,13320.0,10968.0,28826,0,0,90000,0,0,0.0,1184.0,0.0,0.0,1.0,2,21,180.0,118826,1184.0,0.0,1184.0,6.5777777777777775,5.0,1
64202,11739.342568329535,2,1990,7,5,3,1.0,1.0,2808.0,,,0,,8561.0,7733.0,13520,0,0,0,0,0,490.0,0.0,480.0,13520.0,1.0,1,34,2808.0,13520,490.0,480.0,970.0,0.3454415954415954,0.3454415954415954,0
64203,7965.549184599746,2,1992,7,5,3,1.0,1.0,4500.0,,,0,,8561.0,7733.0,13520,0,0,0,0,0,490.0,0.0,480.0,13520.0,1.0,1,32,4500.0,13520,490.0,480.0,970.0,0.21555555555555556,0.21555555555555556,0
65603,8832.579943960776,2,2001,7,5,1,2.0,1.0,,1440.0,,0,,10410.0,9534.0,28000,0,0,0,0,0,936.0,0.0,0.0,28000.0,1.0,1,23,1440.0,28000,936.0,0.0,936.0,0.65,0.65,1
65906,7176.487759103395,2,2001,6,5,3,3.0,1.0,,2000.0,,0,,12318.0,10542.0,0,0,0,500,0,0,0.0,0.0,0.0,0.0,1.0,1,23,2000.0,500,0.0,0.0,0.0,0.0,0.0,0
65904,9310.565533071527,1,2000,6,5,3,1.0,1.0,960.0,1476.0,,0,,2616.0,2388.0,9000,0,0,0,0,0,480.0,0.0,0.0,0.0,1.0,2,24,2436.0,9000,480.0,0.0,480.0,0.19704433497536947,0.19704433497536947,0
66003,5651.780438299714,1,1990,6,5,1,8.0,,1600.0,,,0,,5960.0,5432.0,2500,0,0,0,0,0,132.0,0.0,0.0,2500.0,1.0,3,34,1600.0,2500,132.0,0.0,132.0,0.0825,0.0825,0
66004,6858.818858292543,1,1995,5,5,1,8.0,,1952.0,,,0,,5960.0,5432.0,2500,0,0,0,0,0,132.0,0.0,0.0,2500.0,1.0,3,29,1952.0,2500,132.0,0.0,132.0,0.06762295081967214,0.06762295081967214,0
66104,10170.51684562547,1,1990,6,5,1,1.0,1.0,4320.0,,,0,,14137.0,12073.0,0,0,0,30000,0,0,0.0,0.0,0.0,0.0,1.0,1,34,4320.0,30000,0.0,0.0,0.0,0.0,0.0,0
66103,5291.150740395157,2,1989,6,1,3,1.0,1.0,3993.0,,,0,,8586.0,7170.0,24100,0,0,0,0,0,600.0,120.0,0.0,18500.0,1.0,2,35,3993.0,24100,720.0,0.0,720.0,0.18031555221637866,0.18031555221637866,0
66151,10594.000717886895,1,1985,7,1,3,1.0,1.0,4283.0,,,0,,8586.0,7170.0,24100,0,0,0,0,0,600.0,120.0,0.0,18500.0,1.0,2,39,4283.0,24100,720.0,0.0,720.0,0.16810646742937194,0.16810646742937194,0
67103,16775.13768393354,2,1995,7,5,3,1.0,1.0,5436.0,,,0,,5556.0,4812.0,0,0,0,0,0,0,0.0,0.0,,,,6,29,5436.0,0,0.0,0.0,0.0,0.0,0.0,0
67303,6165.063936157995,1,2001,5,5,1,2.0,1.0,,960.0,,0,,7812.0,7236.0,9375,0,660,0,0,0,242.0,228.0,462.0,6875.0,1.0,1,23,960.0,10035,470.0,462.0,932.0,0.9708333333333333,0.9708333333333333,1
67903,4425.331004468692,1,1993,6,5,1,1.0,1.0,3744.0,,,0,,8487.0,7839.0,8782,0,0,0,0,0,298.0,0.0,518.0,8782.0,1.0,1,31,3744.0,8782,298.0,518.0,816.0,0.21794871794871795,0.21794871794871795,0
68803,6882.161115132683,2,1998,7,5,1,2.0,1.0,,320.0,,0,,11615.0,11087.0,2533,0,0,0,0,0,156.0,0.0,0.0,2500.0,1.0,3,26,320.0,2533,156.0,0.0,156.0,0.4875,0.4875,1
68804,5826.586923935188,1,2000,5,5,1,8.0,,,3300.0,,0,,11615.0,11087.0,2533,0,0,0,0,0,156.0,0.0,0.0,2500.0,1.0,3,24,3300.0,2533,156.0,0.0,156.0,0.04727272727272727,0.04727272727272727,0
68805,5760.401142213593,1,2003,7,5,1,9.0,,,745.0,,0,,11615.0,11087.0,2533,0,0,0,0,0,156.0,0.0,0.0,2500.0,1.0,3,21,745.0,2533,156.0,0.0,156.0,0.20939597315436242,0.20939597315436242,0
69204,6171.024374278926,2,1990,7,5,3,1.0,1.0,3855.0,,,0,,6123.0,5727.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3,34,3855.0,0,0.0,0.0,0.0,0.0,0.0,0
